Conference,Year,Title,DOI,Abstract,AuthorNames-Deduped,Award
EuroVis,2022,"Six methods for transforming layered hypergraphs to apply layered graph layout algorithms",10.1111/cgf.14538,,Sara Di Bartolomeo;Alexis Pister;Paolo Buono;Catherine Plaisant;Cody Dunne;Jean-Daniel Fekete,
EuroVis,2022,"Exploring Multivariate Event Sequences with an Interactive Similarity Builder",10.1111/cgf.14539,,Shaobin Xu;Minghui Sun;Zhengtai Zhang;Hao Xue,
EuroVis,2022,"CorpusVis: Visual Analysis of Digital Sheet Music Collections",10.1111/cgf.14540,,Matthias Miller;Julius Rauscher;Daniel A. Keim;Mennatallah El-Assady,
EuroVis,2022,"LMFingerprints: Visual Explanations of Language Model Embedding Spaces through Layerwise Contextualization Scores",10.1111/cgf.14541,,Rita Sevastjanova;Aikaterini-Lida Kalouli;Christin Beck;Hanna Hauptmann;Mennatallah El-Assady,
EuroVis,2022,"Streaming Approach to In Situ Selection of Key Time Steps for Time-Varying Volume Data",10.1111/cgf.14542,,Mengxi Wu;Yi-Jen Chiang;Christopher Musco,
EuroVis,2022,"An Interactive Approach for Identifying Structure Definitions",10.1111/cgf.14543,,Natalia Mikula;Tom Dörffel;Daniel Baum;Hans-Christian Hege,
EuroVis,2022,"Level of Detail Exploration of Electronic Transition Ensembles using Hierarchical Clustering",10.1111/cgf.14544,,Signe Sidwall Thygesen;Talha Bin Masood;Mathieu Linares;Vijay Natarajan;Ingrid Hotz,
EuroVis,2022,"A Flip-book of Knot Diagrams for Visualizing Surfaces in 4-Space",10.1111/cgf.14545,,Huan Liu;Hui Zhang,
EuroVis,2022,"LOOPS: LOcally Optimized Polygon Simplification",10.1111/cgf.14546,,Alireza Amiraghdam;Alexandra Diehl;Renato Pajarola,
EuroVis,2022,"Branch Decomposition-Independent Edit Distances for Merge Trees",10.1111/cgf.14547,,Florian Wetzels;Heike Leitte;Christoph Garth,
EuroVis,2022,"SimilarityNet: A Deep Neural Network for Similarity Analysis Within Spatio-temporal Ensembles",10.1111/cgf.14548,,Karim Huesmann;Lars Linsen,
EuroVis,2022,"Neural Flow Map Reconstruction",10.1111/cgf.14549,,Saroj Sahoo;Y. Lu;Matthew Berger,
EuroVis,2022,"Hybrid Touch/Tangible Spatial Selection in Augmented Reality",10.1111/cgf.14550,,Mickaël Sereno;Stéphane Gosset;Lonni Besançon;Tobias Isenberg 0001,
EuroVis,2022,"Mobile and Multimodal? A Comparative Evaluation of Interactive Workplaces for Visual Data Exploration",10.1111/cgf.14551,,Gabriela Molina León;Michael Lischka;W. Luo;Andreas Breiter,
EuroVis,2022,"DanmuVis: Visualizing Danmu Content Dynamics and Associated Viewer Behaviors in Online Videos",10.1111/cgf.14552,,Shuai Chen 0001;Sihang Li;Yanda Li;Junlin Zhu;Juanjuan Long;Siming Chen 0001;Jiawan Zhang;Xiaoru Yuan,
EuroVis,2022,"Exploring How Visualization Design and Situatedness Evoke Compassion in the Wild",10.1111/cgf.14553,,Luiz Morais;Nazareno Andrade;D. Sousa,
EuroVis,2022,"Exploring Effects of Ecological Visual Analytics Interfaces on Experts' and Novices' Decision-Making Processes: A Case Study in Air Traffic Control",10.1111/cgf.14554,,Elmira Zohrevandi;Carl A. L. Westin;Katerina Vrotsou;Jonas Lundberg,
EuroVis,2022,"A Typology of Guidance Tasks in Mixed-Initiative Visual Analytics Environments",10.1111/cgf.14555,,Ignacio Pérez-Messina;Davide Ceneda;Mennatallah El-Assady;Silvia Miksch;Fabian Sperrle,
EuroVis,2022,"VIBE: A Design Space for VIsual Belief Elicitation in Data Journalism",10.1111/cgf.14556,,Shambhavi Mahajan;Bonnie Chen;Alireza Karduni;Yea-Seul Kim;Emily Wall,
EuroVis,2022,"Misinformed by Visualization: What Do We Learn From Misinformative Visualizations?",10.1111/cgf.14559,,Leo Yu-Ho Lo;Ayush Gupta;Kento Shigyo;Aoyu Wu;Enrico Bertini;Huamin Qu,
EuroVis,2022,"Investigating the Role and Interplay of Narrations and Animations in Data Videos",10.1111/cgf.14560,,Hao Cheng;Junhong Wang;Yun Wang 0012;Bongshin Lee;Haidong Zhang;Dongmei Zhang 0001,
EuroVis,2022,"Chart Question Answering: State of the Art and Future Directions",10.1111/cgf.14573,,Enamul Hoque;Parsa Kavehzadeh;Ahmed Masry,
EuroVis,2022,"A Survey of Visualization and Analysis in High-Resolution Connectomics",10.1111/cgf.14574,,Johanna Beyer;Jakob Troidl;Saeed Boorboor;Markus Hadwiger;Arie E. Kaufman;Hanspeter Pfister,
EuroVis,2022,"A Grammar-Based Approach for Applying Visualization Taxonomies to Interaction Logs",10.1111/cgf.14557,,Sneha Gathani;Shayan Monadjemi;Alvitta Ottley;Leilani Battle,
EuroVis,2022,"A Process Model for Dashboard Onboarding",10.1111/cgf.14558,,Vaishali Dhanoa;Conny Walchshofer;Andreas P. Hinterreiter;Holger Stitz;M. Eduard Gröller;Marc Streit,
EuroVis,2022,"Nested Papercrafts for Anatomical and Biological Edutainment",10.1111/cgf.14561,,Marwin Schindler;Thorsten Korpitsch;Renata G. Raidou;Hsiang-Yun Wu,
EuroVis,2022,"Trends & Opportunities in Visualization for Physiology: A Multiscale Overview",10.1111/cgf.14575,,Laura A. Garrison;Ivan Kolesár;Ivan Viola;Helwig Hauser;Stefan Bruckner,
EuroVis,2022,"Vessel Maps: A Survey of Map-Like Visualizations of the Cardiovascular System",10.1111/cgf.14576,,Pepe Eulzer;Monique Meuschke;Gabriel Mistelbauer;Kai Lawonn,
EuroVis,2021,"VEHICLE: Validation and Exploration of the Hierarchical Integration of Conflict Event Data",10.1111/cgf.14284,,Benedikt Mayer;Kai Lawonn;Karsten Donnay;Bernhard Preim;Monique Meuschke,
EuroVis,2021,"Topography of Violence: Considerations for Ethical and Collaborative Visualization Design",10.1111/cgf.14285,,Fabian Ehmel;Viktoria Brüggemann;Marian Dörk,
EuroVis,2021,"CommAID: Visual Analytics for Communication Analysis through Interactive Dynamics Modeling",10.1111/cgf.14286,,Maximilian T. Fischer;Daniel Seebacher;Rita Sevastjanova;Daniel A. Keim;Mennatallah El-Assady,
EuroVis,2021,"ProBGP: Progressive Visual Analytics of Live BGP Updates",10.1111/cgf.14287,,Alex Ulmer;David Sessler;Jörn Kohlhammer,
EuroVis,2021,"Color Nameability Predicts Inference Accuracy in Spatial Visualizations",10.1111/cgf.14288,,Khairi Reda;Amey A. Salvi;Jack Gray;Michael E. Papka,
EuroVis,2021,"What are Table Cartograms Good for Anyway? An Algebraic Analysis",10.1111/cgf.14289,,Andrew M. McNutt,
EuroVis,2021,"Exploring Multi-dimensional Data via Subset Embedding",10.1111/cgf.14290,,Peng Xie;Wenyuan Tao;Jie Li 0006;Wentao Huang;Siming Chen 0001,
EuroVis,2021,"Guided Stable Dynamic Projections",10.1111/cgf.14291,,Eduardo Faccin Vernier;João Luiz Dihl Comba;Alexandru C. Telea,
EuroVis,2021,"Texture Browser: Feature-based Texture Exploration",10.1111/cgf.14292,,Xuejiao Luo;Leonardo Scandolo;Elmar Eisemann,
EuroVis,2021,"Local Extraction of 3D Time-Dependent Vector Field Topology",10.1111/cgf.14293,,Lutz Hofmann;Filip Sadlo,
EuroVis,2021,"Parameterized Splitting of Summed Volume Tables",10.1111/cgf.14294,,Christian Reinbold;Rüdiger Westermann,
EuroVis,2021,"Compressive Neural Representations of Volumetric Scalar Fields",10.1111/cgf.14295,,Yuzhe Lu;Kairong Jiang;Joshua A. Levine;Matthew Berger,
EuroVis,2021,"Thin-Volume Visualization on Curved Domains",10.1111/cgf.14296,,Felix Herter;Hans-Christian Hege;Markus Hadwiger;Verena Lepper;Daniel Baum,
EuroVis,2021,"Public Data Visualization: Analyzing Local Running Statistics on Situated Displays",10.1111/cgf.14297,,Jorgos Coenen;Andrew Vande Moere,
EuroVis,2021,"Accessible Visualization: Design Space, Opportunities, and Challenges",10.1111/cgf.14298,,Nam Wook Kim;Shakila Cherise Joyner;Amalia Riegelhuth;Yea-Seul Kim,
EuroVis,2021,"iQUANT: Interactive Quantitative Investment Using Sparse Regression Factors",10.1111/cgf.14299,,Xuanwu Yue;Qiao Gu;Deyun Wang;Huamin Qu;Yong Wang 0021,
EuroVis,2021,"VisEvol: Visual Analytics to Support Hyperparameter Search through Evolutionary Optimization",10.1111/cgf.14300,,Angelos Chatzimparmpas;Rafael Messias Martins;Kostiantyn Kucher;Andreas Kerren,
EuroVis,2021,"Learning Contextualized User Preferences for Co-Adaptive Guidance in Mixed-Initiative Topic Model Refinement",10.1111/cgf.14301,,Fabian Sperrle;Hanna Schäfer;Daniel A. Keim;Mennatallah El-Assady,
EuroVis,2021,"A Visual Designer of Layer-wise Relevance Propagation Models",10.1111/cgf.14302,,Xinyi Huang;Suphanut Jamonnak;Ye Zhao 0003;Tsung Heng Wu;Wei Xu 0020,
EuroVis,2021,"Daisen: A Framework for Visualizing Detailed GPU Execution",10.1111/cgf.14303,,Yifan Sun 0002;Yixuan Zhang;Ali Mosallaei;Michael D. Shah;Cody Dunne;David R. Kaeli,
EuroVis,2021,"Leveraging Topological Events in Tracking Graphs for Understanding Particle Diffusion",10.1111/cgf.14304,,Torin McDonald;Rebika Shrestha;Xiyu Yi;Harsh Bhatia;De Chen;Debanjan Goswami;Valerio Pascucci;Thomas Turbyville;Peer-Timo Bremer,
EuroVis,2021,"SumRe: Design and Evaluation of a Gist-based Summary Visualization for Incident Reports Triage",10.1111/cgf.14305,,Tabassum Kakar;Xiao Qin 0003;Thang La;Sanjay K. Sahoo;Suranjan De;Elke A. Rundensteiner;Lane Harrison,
EuroVis,2021,"SenVis: Interactive Tensor-based Sensitivity Visualization",10.1111/cgf.14306,,Haiyan Yang;Rafael Ballester-Ripoll;Renato Pajarola,
EuroVis,2021,"Visual Analysis of Electronic Densities and Transitions in Molecules",10.1111/cgf.14307,,Talha Bin Masood;Signe Sidwall Thygesen;Mathieu Linares;Alexei I. Abrikosov;Vijay Natarajan;Ingrid Hotz,
EuroVis,2021,"Hornero: Thunderstorms Characterization using Visual Analytics",10.1111/cgf.14308,,Alexandra Diehl;Leandro Pelorosso;Juan Ruiz 0002;Renato Pajarola;M. Eduard Gröller;Stefan Bruckner,
EuroVis,2021,"A Deeper Understanding of Visualization-Text Interplay in Geographic Data-driven Stories",10.1111/cgf.14309,,Shahid Latif;Siming Chen 0001;Fabian Beck 0001,
EuroVis,2021,"Design Space of Origin-Destination Data Visualization",10.1111/cgf.14310,,Martijn Tennekes;Min Chen 0001,
EuroVis,2021,"Visual Analysis of Spatio-temporal Phenomena with 1D Projections",10.1111/cgf.14311,,Max Franke;Henry Martin;Steffen Koch 0001;Kuno Kurzhals,
EuroVis,2021,"Boundary Objects in Design Studies: Reflections on the Collaborative Creation of Isochrone Maps",10.1111/cgf.14312,,Romain Vuillemot;Ph. Rivière;Anaëlle Beignon;Aurélien Tabard,
EuroVis,2021,"Automatic Improvement of Continuous Colormaps in Euclidean Colorspaces",10.1111/cgf.14313,,Pascal Nardini;Min Chen 0001;Michael Böttinger;Gerik Scheuermann;Roxana Bujack,
EuroVis,2021,"ParSetgnostics: Quality Metrics for Parallel Sets",10.1111/cgf.14314,,Frederik L. Dennig;Maximilian T. Fischer;Michael Blumenschein;Johannes Fuchs 0001;Daniel A. Keim;Evanthia Dimara,
EuroVis,2021,"A novel approach for exploring annotated data with interactive lenses",10.1111/cgf.14315,,Fabio Bettio;Moonisa Ahsan;Fabio Marton;Enrico Gobbetti,
EuroVis,2021,"Line Weaver: Importance-Driven Order Enhanced Rendering of Dense Line Charts",10.1111/cgf.14316,,Thomas Trautner;Stefan Bruckner,
EuroVis,2021,"A Progressive Approach for Uncertainty Visualization in Diffusion Tensor Imaging",10.1111/cgf.14317,,Faizan Siddiqui;Thomas Höllt;Anna Vilanova,
EuroVis,2021,"Implicit Modeling of Patient-Specific Aortic Dissections with Elliptic Fourier Descriptors",10.1111/cgf.14318,,Gabriel Mistelbauer;Christian Rössl;Kathrin Bäumler;Bernhard Preim;Dominik Fleischmann,
EuroVis,2021,"Visualizing Carotid Blood Flow Simulations for Stroke Prevention",10.1111/cgf.14319,,Pepe Eulzer;Monique Meuschke;Carsten M. Klingner;Kai Lawonn,
EuroVis,2021,"VICE: Visual Identification and Correction of Neural Circuit Errors",10.1111/cgf.14320,,Felix Gonda;Xueying Wang;Johanna Beyer;Markus Hadwiger;Jeff W. Lichtman;Hanspeter Pfister,
EuroVis,2021,"Design Patterns and Trade-Offs in Responsive Visualization for Communication",10.1111/cgf.14321,,Hyeok Kim;Dominik Moritz;Jessica Hullman,
EuroVis,2021,"ClusterSets: Optimizing Planar Clusters in Categorical Point Data",10.1111/cgf.14322,,Jakob Geiger;Sabine Cornelsen;Jan-Henrik Haunert;Philipp Kindermann;Tamara Mchedlidze;Martin Nöllenburg;Yoshio Okamoto;Alexander Wolff 0001,
EuroVis,2021,"Optimal Axes for Data Value Estimation in Star Coordinates and Radial Axes Plots",10.1111/cgf.14323,,Manuel Rubio-Sánchez;Dirk J. Lehmann;Alberto Sánchez 0001;José Luis Rojo-Álvarez,
EuroVis,2021,"AutoClips: An Automatic Approach to Video Generation from Data Facts",10.1111/cgf.14324,,D. Shi;F. Sun;X. Xu;Xingyu Lan;David Gotz;Nan Cao,
EuroVis,2021,"Animated Presentation of Static Infographics with InfoMotion",10.1111/cgf.14325,,Yun Wang 0012;Yi Gao;Ray Huang;Weiwei Cui;Haidong Zhang;Dongmei Zhang 0001,
EuroVis,2021,"Uncertainty-aware Visualization of Regional Time Series Correlation in Spatio-temporal Ensembles",10.1111/cgf.14326,,Marina Evers;Karim Huesmann;Lars Linsen,
EuroVis,2021,"TourVis: Narrative Visualization of Multi-Stage Bicycle Races",10.1111/cgf.14327,,José Díaz 0003;Marta Fort;Pere-Pau Vázquez,
EuroVis,2021,"A Survey of Human-Centered Evaluations in Human-Centered Machine Learning",10.1111/cgf.14329,,Fabian Sperrle;Mennatallah El-Assady;Grace Guo;Rita Borgo;Duen Horng Chau;Alex Endert;Daniel A. Keim,
EuroVis,2021,"Data to Physicalization: A Survey of the Physical Rendering Process",10.1111/cgf.14330,,Hessam Djavaherpour;Faramarz F. Samavati;Ali Mahdavi-Amiri;Fatemeh Yazdanbakhsh;Samuel Huron;Richard Levy;Yvonne Jansen;Lora Oehlberg,
EuroVis,2021,"Scalar Field Comparison with Topological Descriptors: Properties and Applications for Scientific Visualization",10.1111/cgf.14331,,Lin Yan;Talha Bin Masood;Raghavendra Sridharamurthy;Farhan Rasheed;Vijay Natarajan;Ingrid Hotz;Bei Wang 0001,
EuroVis,2021,"Visualization in Astrophysics: Developing New Methods, Discovering Our Universe, and Educating the Earth",10.1111/cgf.14332,,Fangfei Lan;Michael Young;Lauren Anderson;Anders Ynnerman;Alexander Bock 0002;Michelle A. Borkin;Angus G. Forbes;Juna A. Kollmeier;Bei Wang 0001,
EuroVis,2021,"Uncertainty-aware Visualization in Medical Imaging - A Survey",10.1111/cgf.14333,,Christina Gillmann;Dorothee Saur;Thomas Wischgoll;Gerik Scheuermann,
EuroVis,2020,"CPU Ray Tracing of Tree-Based Adaptive Mesh Refinement Data",10.1111/cgf.13958,,Feng Wang 0013;Nathan Marshak;William Usher 0001;Carsten Burstedde;Aaron Knoll;Timo Heister;Chris R. Johnson 0001,
EuroVis,2020,"Knowledge-Assisted Comparative Assessment of Breast Cancer using Dynamic Contrast-Enhanced Magnetic Resonance Imaging",10.1111/cgf.13959,,Kai Nie;Pascal A. Baltzer;Bernhard Preim;Gabriel Mistelbauer,
EuroVis,2020,"Hairy Slices II: Depth Cues for Visualizing 3D Streamlines Through Cutting Planes",10.1111/cgf.13960,,Andrew H. Stevens;Colin Ware;Thomas Butkiewicz;David H. Rogers 0001;Greg Abram,
EuroVis,2020,"Representative Isovalue Detection and Isosurface Segmentation Using Novel Isosurface Measures",10.1111/cgf.13961,,Cuilan Wang,
EuroVis,2020,"DRLViz: Understanding Decisions and Memory in Deep Reinforcement Learning",10.1111/cgf.13962,,Theo Jaunet;Romain Vuillemot;Christian Wolf 0001,
EuroVis,2020,"MotionGlyphs: Visual Abstraction of Spatio-Temporal Networks in Collective Animal Behavior",10.1111/cgf.13963,,Eren Cakmak;Hanna Schäfer;Juri Buchmüller;Johannes Fuchs 0001;Tobias Schreck;Alex Jordan;Daniel A. Keim,
EuroVis,2020,"Reading Traces: Scalable Exploration in Elastic Visualizations of Cultural Heritage Data",10.1111/cgf.13964,,Mark-Jan Bludau;Viktoria Brüggemann;Anna Busch;Marian Dörk,
EuroVis,2020,"Bombalytics: Visualization of Competition and Collaboration Strategies of Players in a Bomb Laying Game",10.1111/cgf.13965,,Shivam Agarwal;Günter Wallner;Fabian Beck 0001,
EuroVis,2020,"VA-TRAC: Geospatial Trajectory Analysis for Monitoring, Identification, and Verification in Fishing Vessel Operations",10.1111/cgf.13966,,S. Storm-Furru;Stefan Bruckner,
EuroVis,2020,"Orchard: Exploring Multivariate Heterogeneous Networks on Mobile Phones",10.1111/cgf.13967,,Philipp Eichmann;Darren Edge;Nathan Evans;Bongshin Lee;Matthew Brehmer;Christopher M. White,
EuroVis,2020,"Ocupado: Visualizing Location-Based Counts Over Time Across Buildings",10.1111/cgf.13968,,Michael Oppermann;Tamara Munzner,
EuroVis,2020,"A Visual Analytics Approach to Facilitate Crime Hotspot Analysis",10.1111/cgf.13969,,Jose Florencio de Queiroz Neto;Emanuele Marques dos Santos;Creto Augusto Vidal;David S. Ebert,
EuroVis,2020,"QUESTO: Interactive Construction of Objective Functions for Classification Tasks",10.1111/cgf.13970,,Subhajit Das 0002;Shenyu Xu;Michael Gleicher;Remco Chang;Alex Endert,
EuroVis,2020,"Peax : Interactive Visual Pattern Search in Sequential Data Using Unsupervised Deep Representation Learning",10.1111/cgf.13971,,Fritz Lekschas;Brant Peterson;Daniel Haehn;Eric Ma;Nils Gehlenborg;Hanspeter Pfister,
EuroVis,2020,"Boxer: Interactive Comparison of Classifier Results",10.1111/cgf.13972,,Michael Gleicher;Aditya Barve;Xinyi Yu;Florian Heimerl,
EuroVis,2020,"Classifier-Guided Visual Correction of Noisy Labels for Image Classification Tasks",10.1111/cgf.13973,,Alex Bäuerle;Heiko Neumann;Timo Ropinski,
EuroVis,2020,"Understanding the Design Space and Authoring Paradigms for Animated Data Graphics",10.1111/cgf.13974,,John Thompson 0002;Zhicheng Liu;Wilmot Li;John T. Stasko,
EuroVis,2020,"VisuaLint: Sketchy In Situ Annotations of Chart Construction Errors",10.1111/cgf.13975,,Aspen K. Hopkins;Michael Correll;Arvind Satyanarayan,
EuroVis,2020,"Many At Once: Capturing Intentions to Create And Use Many Views At Once In Large Display Environments",10.1111/cgf.13976,,Jillian Aurisano;Abhinav Kumar 0002;Abeer Alsaiari;Barbara Di Eugenio;Andrew E. Johnson 0001,
EuroVis,2020,"Quantitative Evaluation of Time-Dependent Multidimensional Projection Techniques",10.1111/cgf.13977,,Eduardo Faccin Vernier;Rafael Garcia;Iron Prando da Silva;João Luiz Dihl Comba;Alexandru C. Telea,
EuroVis,2020,"Phase Space Projection of Dynamical Systems",10.1111/cgf.13978,,Nemanja Bartolovic;Markus Gross 0001;Tobias Günther,
EuroVis,2020,"Short-Contact Touch-Manipulation of Scatterplot Matrices on Wall Displays",10.1111/cgf.13979,,Patrick Riehmann;Gabriela Molina León;Joshua Reibert;Florian Echtler;Bernd Fröhlich 0001,
EuroVis,2020,"Structure and Empathy in Visual Data Storytelling: Evaluating their Influence on Attitude",10.1111/cgf.13980,,Johannes Liem;Charles Perin;Jo Wood,
EuroVis,2020,"Co-creating Visualizations: A First Evaluation with Social Science Researchers",10.1111/cgf.13981,,Gabriela Molina León;Andreas Breiter,
EuroVis,2020,"Extraction of Distinguished Hyperbolic Trajectories for 2D Time-Dependent Vector Field Topology",10.1111/cgf.13982,,Lutz Hofmann;Filip Sadlo,
EuroVis,2020,"Fiber Surfaces for many Variables",10.1111/cgf.13983,,Christian Blecha;Felix Raith;A. J. Präger;Thomas Nagel;Olaf Kolditz;Jobst Maßmann;Niklas Röber;Michael Böttinger;Gerik Scheuermann,
EuroVis,2020,"Visual Analysis of the Finite-Time Lyapunov Exponent",10.1111/cgf.13984,,Antoni Sagristà;Stefan Jordan;Filip Sadlo,
EuroVis,2020,"Fuzzy Contour Trees: Alignment and Joint Layout of Multiple Contour Trees",10.1111/cgf.13985,,Anna Pia Lohfink;Florian Wetzels;Jonas Lukasczyk;Gunther H. Weber;Christoph Garth,
EuroVis,2020,"Metro Maps on Octilinear Grid Graphs",10.1111/cgf.13986,,Hannah Bast;Patrick Brosi;Sabine Storandt,
EuroVis,2020,"Augmenting Node-Link Diagrams with Topographic Attribute Maps",10.1111/cgf.13987,,Reinhold Preiner;Johanna Schmidt;Katharina Krösl;Tobias Schreck;Gabriel Mistelbauer,
EuroVis,2020,"Set Streams: Visual Exploration of Dynamic Overlapping Sets",10.1111/cgf.13988,,Shivam Agarwal;Fabian Beck 0001,
EuroVis,2020,"Quantitative Comparison of Time-Dependent Treemaps",10.1111/cgf.13989,,Eduardo Faccin Vernier;Max Sondag;João Luiz Dihl Comba;Bettina Speckmann;Alexandru C. Telea;Kevin Verbeek,
EuroVis,2020,"PAVED: Pareto Front Visualization for Engineering Design",10.1111/cgf.13990,,Lena Cibulski;Hubert Mitterhofer;Thorsten May;Jörn Kohlhammer,
EuroVis,2020,"A Globally Conforming Lattice Structure for 2D Stress Tensor Visualization",10.1111/cgf.13991,,Junpeng Wang;Jun Wu 0005;Rüdiger Westermann,
EuroVis,2020,"Feature Driven Combination of Animated Vector Field Visualizations",10.1111/cgf.13992,,María-Jesús Lobo;Alexandru C. Telea;Christophe Hurter,
EuroVis,2020,"LOCALIS: Locally-adaptive Line Simplification for GPU-based Geographic Vector Data Visualization",10.1111/cgf.13993,,Alireza Amiraghdam;Alexandra Diehl;Renato Pajarola,
EuroVis,2020,"Data Comets: Designing a Visualization Tool for Analyzing Autonomous Aerial Vehicle Logs with Grounded Evaluation",10.1111/cgf.13994,,David Saffo;Aristotelis Leventidis;Twinkle Jain;Michelle A. Borkin;Cody Dunne,
EuroVis,2020,"GTMapLens: Interactive Lens for Geo-Text Data Browsing on Map",10.1111/cgf.13995,,Chao Ma 0023;Ye Zhao 0003;Shamal Al-Dohuki;Jing Yang 0001;Xinyue Ye;Farah Kamw;Md. Amiruzzaman,
EuroVis,2020,"Warehouse Vis: A Visual Analytics Approach to Facilitating Warehouse Location Selection for Business Districts",10.1111/cgf.13996,,Quan Li;Qiangqiang Liu;Chunfeng Tang;Z. W. Li;S. C. Wei;X. R. Peng;M. H. Zheng;Tianjian Chen;Q. Yang,
EuroVis,2020,"Resolving Conflicting Insights in Asynchronous Collaborative Visual Analysis",10.1111/cgf.13997,,Jianping Kelvin Li;Shenyu Xu;Yecong (Chris) Ye;Kwan-Liu Ma,
EuroVis,2020,"SeqDynamics: Visual Analytics for Evaluating Online Problem-solving Dynamics",10.1111/cgf.13998,,Meng Xia;Min Xu;Chuan-En Lin;Ta Ying Cheng;Huamin Qu;Xiaojuan Ma,
EuroVis,2020,"SEEVis: A Smart Emergency Evacuation Plan Visualization System with Data-Driven Shot Designs",10.1111/cgf.13999,,Quan Li;Yingjie Liu;Li Chen;Xingchao Yang;Yi Peng;Xiaoru Yuan;M. L. L. Wijerathne,
EuroVis,2020,"Evaluating Reordering Strategies for Cluster Identification in Parallel Coordinates",10.1111/cgf.14000,,Michael Blumenschein;Xuan Zhang;David Pomerenke;Daniel A. Keim;Johannes Fuchs 0001,
EuroVis,2020,"Sunspot Plots: Model-based Structure Enhancement for Dense Scatter Plots",10.1111/cgf.14001,,Thomas Trautner;Fabian Bolte;Sergej Stoppel;Stefan Bruckner,
